HOUR;TIMESLICE;AT;BE;BG;CH;CZ;DE;DK;ES;FI;FR;GR;HR;HU;IE;IT;LU;NL;NO;PL;PT;RO;SE;SI;SK;UK;EE;LT;LV;NONEU_Balkan;TR
57;Q1M;0.338853;0.353427;0.139431;0.1105;0.600581;0.7795;0.696969;0.334379;0.066426;0.181531;0.075429;0.051308;0.196047;0.267686;0.049226;0.388204;0.423972;0.597664;0.58958;0.440937;0.136492;0.297958;0.120393394;0.060382338;0.53796;0.233106;0.505996;0.323012;0.010391351;0.075429
58;Q1P;0.366931;0.361834;0.13894;0.119514;0.630175;0.794166667;0.699464;0.316369;0.056292;0.180163;0.071442;0.037315;0.207427;0.270564;0.054233;0.37345;0.434138;0.610232;0.609557;0.413525;0.122;0.330252;0;0.109625916;0.509656;0.209444;0.491206;0.316068;0.012958438;0.071442
59;Q1P;0.390456;0.357479;0.157061;0.110388;0.651419;0.811166667;0.708689;0.281696;0.064088;0.171224;0.075432;0.022387;0.216322;0.289252;0.055285;0.350598;0.439181;0.628859;0.636333;0.363005;0.128864;0.354314;0;0.173308452;0.47508;0.187488;0.476549;0.302226;0.017784671;0.075432
60;Q1P;0.433372;0.341077;0.175482;0.097296;0.666375;0.809833333;0.738737;0.285045;0.073263;0.159643;0.08233;0.011402;0.248925;0.32129;0.054537;0.332442;0.430938;0.646336;0.666795;0.346453;0.142151;0.379833;0;0.245156307;0.43651;0.170962;0.457977;0.286452;0.027692421;0.08233
61;Q1P;0.485203;0.321143;0.179629;0.087668;0.671457;0.805166667;0.767289;0.278053;0.078566;0.150027;0.087011;0.007924;0.291958;0.359249;0.055797;0.321795;0.412428;0.658445;0.697241;0.354545;0.142613;0.410166;0;0.321608514;0.402638;0.155826;0.447796;0.276363;0.04642015;0.087011
62;Q1P;0.514644;0.305183;0.159199;0.082436;0.676082;0.7955;0.787126;0.256724;0.088077;0.142813;0.08897;0.012955;0.315831;0.390256;0.060045;0.312518;0.396629;0.661629;0.72994;0.351753;0.129739;0.442249;0;0.400200827;0.381535;0.134414;0.417791;0.261694;0.073364556;0.08897
63;Q1A;0.5316;0.28499;0.124925;0.081233;0.668891;0.781333333;0.792251;0.234888;0.100709;0.136524;0.087721;0.022088;0.338158;0.399762;0.065522;0.302634;0.374374;0.659562;0.759293;0.327312;0.121061;0.471301;0;0.372071748;0.369484;0.114919;0.370484;0.232746;0.064933144;0.087721
64;Q1A;0.565043;0.261512;0.120859;0.08515;0.672985;0.7595;0.789225;0.214006;0.109957;0.131414;0.08942;0.038841;0.381507;0.388605;0.070604;0.28932;0.343043;0.659019;0.788604;0.290738;0.14425;0.496129;0;0.34822156;0.362921;0.100436;0.333115;0.194259;0.057582612;0.08942
65;Q1A;0.610376;0.257459;0.12802;0.096958;0.67618;0.728166667;0.780202;0.191137;0.114323;0.135678;0.090698;0.061784;0.434363;0.381379;0.073201;0.296753;0.319691;0.658368;0.806673;0.240978;0.173337;0.519159;0;0.329096831;0.353843;0.093579;0.334609;0.15971;0.051188849;0.090698
66;Q1A;0.656893;0.265797;0.142052;0.10678;0.69136;0.7215;0.776231;0.178044;0.118011;0.144223;0.09094;0.083703;0.49002;0.378542;0.075865;0.315177;0.307713;0.654749;0.820004;0.210371;0.204983;0.537451;0;0.315111186;0.355183;0.085536;0.360998;0.134152;0.046107378;0.09094
67;Q1A;0.676845;0.276655;0.160918;0.110084;0.700873;0.670333333;0.775441;0.184073;0.120765;0.150695;0.092349;0.098073;0.521769;0.372331;0.077148;0.33899;0.300148;0.645227;0.828968;0.220594;0.243559;0.553606;0.150515072;0.306617628;0.374965;0.075415;0.411701;0.1309;0.043082955;0.092349
68;Q1N;0.700454;0.283864;0.182597;0.113392;0.718402;0.6285;0.768163;0.188407;0.119401;0.154603;0.095634;0.10621;0.545782;0.35995;0.078639;0.359938;0.286757;0.628175;0.83564;0.232482;0.282749;0.568943;0.200135892;0.303871891;0.399444;0.066584;0.461856;0.147211;0.04102258;0.095634
69;Q1N;0.711258;0.291704;0.206136;0.113511;0.721064;0.613;0.744372;0.190085;0.116177;0.157231;0.100179;0.113158;0.559035;0.352065;0.08223;0.366696;0.271697;0.603976;0.837715;0.240129;0.318531;0.583016;0.198709711;0.342095537;0.419364;0.061219;0.495096;0.181787;0.04126959;0.100179
70;Q1N;0.72995;0.307757;0.227519;0.112097;0.7304;0.598833333;0.716137;0.19165;0.114486;0.161514;0.104076;0.120428;0.577828;0.355774;0.086516;0.369995;0.266085;0.580749;0.836576;0.249756;0.343794;0.59198;0.19829266;0.386406791;0.432889;0.057533;0.525093;0.239159;0.043900575;0.104076
71;Q1N;0.731296;0.316751;0.250156;0.108052;0.720145;0.601;0.702539;0.188162;0.116117;0.166731;0.101354;0.135301;0.595521;0.366614;0.095611;0.364649;0.259465;0.550455;0.828502;0.266014;0.377319;0.593656;0.198877982;0.435601863;0.448819;0.050946;0.576404;0.313459;0.049075458;0.101354
72;Q1N;0.742446;0.317921;0.270863;0.106767;0.714564;0.593166667;0.693837;0.181404;0.11748;0.169655;0.098435;0.162773;0.620056;0.37925;0.107464;0.356813;0.254334;0.516494;0.815301;0.280194;0.413296;0.592534;0.200462498;0.488464809;0.469981;0.046933;0.629497;0.379942;0.057171101;0.098435
73;Q1N;0.748337;0.311887;0.288168;0.109449;0.70131;0.632;0.67188;0.173322;0.115734;0.168289;0.096024;0.193475;0.637986;0.392929;0.118896;0.345193;0.251866;0.480923;0.800063;0.287776;0.445879;0.595606;0.203046146;0.543824757;0.483488;0.046179;0.657636;0.412074;0.067482542;0.096024
74;Q1N;0.763221;0.299316;0.305669;0.114458;0.694425;0.697333333;0.634115;0.165308;0.11766;0.163207;0.094561;0.212499;0.664529;0.403487;0.130911;0.329234;0.247095;0.436279;0.784995;0.292618;0.479284;0.599471;0.206630077;0.600576984;0.488577;0.047068;0.651908;0.410613;0.080884034;0.094561
75;Q1N;0.767512;0.286014;0.330184;0.118054;0.677488;0.7455;0.596261;0.158926;0.129765;0.156428;0.09608;0.221184;0.683003;0.405945;0.141298;0.306925;0.245522;0.385151;0.768914;0.296232;0.510535;0.593295;0.197257564;0.593227676;0.489139;0.051161;0.630728;0.398089;0.083690517;0.09608
76;Q1N;0.780565;0.274592;0.359813;0.116541;0.670636;0.751833333;0.557719;0.154778;0.145047;0.150882;0.099049;0.225366;0.713643;0.406957;0.148588;0.28413;0.250838;0.353427;0.750244;0.297306;0.536828;0.578204;0.188316699;0.586849279;0.487383;0.058951;0.607463;0.387816;0.08753459;0.099049
